city,state,biking,climbing,housing,vegan,winter,summer
Little Rock,Arkansas,231.94152143872108,0.4905760343795684,154898.27785195722,1.9623041375182737,0.2861111111111111,0.2010869565217391
Tallahassee,Florida,564.1398208600085,0.0,170952.10140321404,1.4835254498790926,0.6229166666666667,0.1589673913043478
Peoria,Arizona,,2.515723270440252,380898.96550149104,3.522012578616352,0.6736111111111112,0.0427989130434782
Oxnard,California,297.0538833814301,2.015235177945266,613263.0563994561,1.5114263834589496,0.5958333333333333,0.7452445652173914
Knoxville,Tennessee,232.50196267890576,1.5139128591758255,237207.5945408968,3.532463338076927,0.5104166666666666,0.2730978260869565
Birmingham,Alabama,,2.034132747503102,70636.38209108998,4.068265495006204,0.4034722222222222,0.2826086956521739
Grand Rapids,Michigan,207.3641764644158,1.52587890625,242283.11342206868,7.120768229166667,0.0173611111111111,0.5679347826086957
Vancouver,Washington,250.26634771946047,0.5090561081642418,360284.6889054528,12.726402704106048,0.2548611111111111,0.59375
Huntington Beach,California,795.1504107759447,2.081934533568592,775802.0596064868,8.848221767666516,0.7194444444444444,0.5074728260869565
Providence,Rhode Island,1057.4700837142418,0.524130990817225,384838.0842284445,5.2413099081722505,0.0784722222222222,0.5217391304347826
Tempe,Arizona,1437.5660791213647,2.633880126847667,324317.6394214439,10.535520507390668,0.6847222222222222,0.015625
Akron,Ohio,341.1205837538027,0.5299388980450553,104324.96415815417,2.1197555921802214,0.0541666666666666,0.499320652173913
Glendale,California,272.09507885965,3.207698476343224,823907.3035192705,9.0884790163058,0.6291666666666667,0.3872282608695652
Fort Lauderdale,Florida,215.06504406210655,0.5427261132669398,438264.8641446059,13.568152831673498,0.6631944444444444,0.0889945652173913
Newport News,Virginia,149.13469102351192,0.0,185173.5720748597,1.092191919964176,0.1736111111111111,0.328804347826087
Ontario,California,,2.740371704017933,515215.029090061,7.1249664304466265,0.5291666666666667,0.3729619565217391
Clarksville,Tennessee,224.55015497223263,0.5533544345824387,210871.33891618147,1.1067088691648774,0.1972222222222222,0.3091032608695652
Cary,North Carolina,175.09756495674498,1.1110493861452142,339104.8567582607,4.444197544580857,0.3229166666666667,0.3091032608695652
Elk Grove,California,430.1239712868353,0.0,444295.2924690688,1.681199704108852,0.4527777777777778,0.3980978260869565
Eugene,Oregon,2181.342252599433,1.124233413341278,363010.6322345505,5.059050360035751,0.2069444444444444,0.5658967391304348
Aurora,Illinois,,0.0,246080.4518217372,1.6895411769343838,0.0263888888888888,0.499320652173913
Salem,Oregon,250.56960235934565,0.5635961945984941,326227.4060327879,1.1271923891969882,0.2097222222222222,0.5713315217391305
Santa Rosa,California,226.439326089528,1.137365293298075,549706.9646084108,1.7060479399471125,0.6069444444444444,0.4436141304347826
Rancho Cucamonga,California,15.282125007782565,2.293512227287062,496424.403012427,4.013646397752358,0.5291666666666667,0.3729619565217391
Fort Collins,Colorado,1818.3201015638251,0.5869371272949242,381456.9481641192,2.347748509179697,0.1902777777777777,0.484375
Springfield,Missouri,172.3612316206646,0.0,137189.84122624915,0.0,0.1701388888888889,0.3675271739130434
Oceanside,California,327.63832208586734,1.1763321962122102,576592.4603067384,5.293494882954946,0.8201388888888889,0.4565217391304347
Garden Grove,California,167.70052979440726,1.1888203335829857,641319.1254214287,10.104972835455378,0.6777777777777778,0.4320652173913043
Lancaster,California,290.254628056653,1.8046632498375803,327213.2337003437,4.210880916287688,0.35,0.328804347826087
Palmdale,California,272.09507885965,1.8586899952913187,368636.0498971871,4.336943322346411,0.3694444444444444,0.3383152173913043
Corona,California,234.51333414433049,1.8722150800683983,534473.4053865372,2.496286773424531,0.6423611111111112,0.3552989130434782
Killeen,Texas,,1.2527952995120362,130170.8365454274,0.6263976497560181,0.46875,0.1942934782608695
Salinas,California,,0.0,577114.9466091449,1.253871327724349,0.4201388888888889,0.6290760869565217
Roseville,California,307.0086559528174,0.0,471816.46055393526,3.141986363779181,0.5180555555555556,0.3641304347826087
Denton,Texas,73.50017471353006,0.6315164604765423,301379.0325621018,5.0521316838123385,0.3694444444444444,0.1596467391304347
Surprise,Arizona,,1.2635436080487727,378146.71839628805,1.2635436080487727,0.6444444444444445,0.0326086956521739
Paterson,New Jersey,157.4671478937027,0.0,397429.163482449,2.556694705085266,0.05,0.453804347826087
Hayward,California,179.25558437951688,0.6423638991488678,589174.6508894905,3.211819495744339,0.56875,0.6637228260869565
Charleston,South Carolina,482.98545383652703,0.643629037967677,391630.2396466466,4.505403265773738,0.5041666666666667,0.2404891304347826
Alexandria,Virginia,563.7892672625109,0.0,451339.7241978164,5.153642981382465,0.1041666666666666,0.374320652173913
Hollywood,Florida,138.930798632066,0.0,366593.4842657044,16.898588967821187,0.6847222222222222,0.0645380434782608
Springfield,Massachusetts,,0.0,254153.2403274295,3.2536831693477017,0.0638888888888888,0.5054347826086957
Sunnyvale,California,859.8254834923713,0.6580376002684794,1082612.760892366,7.238413602953272,0.5708333333333333,0.5855978260869565
Bellevue,Washington,196.9077707319917,1.3194875110507078,651432.9523837065,3.958462533152124,0.1333333333333333,0.7180706521739131
Naperville,Illinois,,0.6655795533961196,308318.2529312491,5.324636427168957,0.0458333333333333,0.4707880434782608
Escondido,California,,2.0253574755944426,561107.8407934498,1.3502383170629615,0.5458333333333333,0.40625
Bridgeport,Connecticut,,0.0,270281.16291641095,1.3510957386440403,0.1027777777777777,0.4857336956521739
Savannah,Georgia,661.9223299666015,0.0,224843.12726824908,2.7073124509299618,0.6097222222222223,0.1127717391304347
McAllen,Texas,,0.0,135444.15555904675,6.821608125899599,0.5458333333333333,0.1059782608695652
Gainesville,Florida,2511.498426531106,0.6858146105944641,178936.2936448399,2.057443831783392,0.6583333333333333,0.1671195652173913
Syracuse,New York,168.38819639813542,0.6870019236053861,162583.26470088225,1.3740038472107725,0.0222222222222222,0.545516304347826
Pomona,California,234.51333414433049,2.749103105111957,539940.2171436697,5.498206210223914,0.6604166666666667,0.3641304347826087
Visalia,California,,0.0,263870.33072031033,2.068994055090415,0.6388888888888888,0.265625
Waco,Texas,,0.0,124092.57668650556,0.0,0.4381944444444444,0.123641304347826
