city,state,biking,climbing,housing,vegan,winter,summer,total
Providence,Rhode Island,-1.0301570246854705,0.4818381635194009,-0.3052173449954736,0.6662627346568284,1.749125433763917,-0.040186708232009975,0.20796541810155827
Vancouver,Washington,-1.2091713816081835,0.4397354272614518,-0.3094389883428645,-0.11280559576732667,2.5988540789779297,0.05307677615771112,0.20410297788345325
Riverside,California,-0.8828086577009321,1.7409247650324182,-0.6932349972868505,-0.39657875871751674,3.22642948235691,-0.29159343791565245,0.19244272614719166
Westminster,Colorado,0.19656719530228367,3.535702076609592,-0.3977322272626447,-0.9237295420277053,2.1463908746139277,-0.13329611262349145,0.177640037600474
Nashville,Tennessee,-1.6642783589501016,0.9538029930814084,-0.13248628324791206,0.30172629650171523,2.9214894158941673,-0.5477401544271143,0.17574218315415094
Pomona,California,-1.1034623689812546,1.8727998593796054,-0.8105493757457611,-0.2647036643703297,3.285686717986605,-0.2996233633637018,0.16146958910511158
Hayward,California,-1.0476858730382161,0.7753015640213544,-1.114319916852917,-0.3622019597285803,3.177895773376828,0.1334394173916046,0.15742548822974378
Cleveland,Ohio,-1.414844173104047,0.5552371253131815,1.5203018792915368,-0.26033830354939125,0.8827673731814929,-0.004455526953697804,0.14468624977317873
Grand Rapids,Michigan,-0.8441976258999987,1.438516816952195,0.33938177993784263,0.4709382946445726,0.6609640474436854,0.02101160744785339,0.12961962071479105
Durham,North Carolina,-2.1554381420889692,-0.15266460627639936,0.02065581980886614,0.4102715881147581,2.7695794055540204,-0.41780659104955886,0.1254524160678233
Santa Ana,California,-1.6352583211809304,0.7790643780972786,-0.9957327181032154,0.10099247298464047,3.354369520679794,-0.2402302871384461,0.11682813344836859
Fullerton,California,-0.7686813466533643,1.9361615156712326,-1.206634569106287,-0.616379507357546,3.351605733695578,-0.24645420426984682,0.10269122126170674
Memphis,Tennessee,-2.3929679021130674,-0.21525894287902417,1.7911653984998175,-0.893330847991662,2.6892558116268694,-0.6992746882451375,0.098969554355364
Ventura,California,-1.3325735659036888,2.8737057405356716,-1.1565227734826784,-0.26379778321426356,3.267248716869089,-0.0601857421979695,0.09083377041409778
Oceanside,California,-0.9970483832860185,0.6481343780284884,-0.9641794220106246,-0.9044066450002901,3.441932577254902,-0.1365092472032081,0.08795777595095218
Downey,California,-2.3926399305758133,2.8769106419325654,-1.2576549654593097,0.9617995395190785,3.2641293713792106,-0.1386593159200208,0.087394939788629
Fremont,California,-1.3325735659036888,1.2361888911137706,-1.3771526756287593,-0.09395971057856052,3.180533244397165,0.043104070951961095,0.08399027264762349
Reno,Nevada,-0.8606491383185872,1.5398157181718473,-0.37525879117520355,-0.3752953842416399,2.3276759143062815,-0.3023199927488112,0.08283052156440793
Garden Grove,California,-1.6170778417205884,1.6633695402926962,-1.0460991305553948,-0.15220588856987627,3.3044046213377665,-0.1762264809504104,0.06255905590829931
Rochester,New York,-1.706231645821729,1.3622996839698953,0.7401793654237275,0.6842277788572575,0.46299970927811374,0.0685902239680234,0.049953086341078624
San Jose,California,-1.3232147803821224,0.13636731070368452,-1.4996856934825162,0.043257906312202964,3.093923454719792,-0.08274501505098542,0.046307174423274144
