city,state,population,area,radius,gyms,per_100k,score
Baton Rouge,Louisiana,219573,86.3,8434.888512504536,2,0.9108588032226185,1.2791381803366775
Temecula,California,110682,37.3,5545.342370732375,1,0.9034892755822987,1.2674182247505514
Gresham,Oregon,110685,23.5,4401.572705779567,1,0.9034647874599088,1.2673791214955683
Pueblo,Colorado,111077,55.4,6758.165628454648,1,0.900276384850149,1.2622787251692427
Goodyear,Arizona,111805,191.3,12558.316781404754,1,0.8944143821832655,1.252854135253056
Long Beach,California,449468,50.7,6465.1399215154715,4,0.8899409969119048,1.2456204369176815
Fremont,California,226208,78.3,8034.425533510488,2,0.8841420285754704,1.2361888911137704
Provo,Utah,113343,41.7,5863.298117894945,1,0.8822776880795461,1.2331435494417393
Menifee,California,113433,46.5,6191.564839216644,1,0.8815776714007387,1.2319984321409942
Anaheim,California,340512,50.3,6439.585908777854,3,0.8810262193402876,1.2310957027381626
Honolulu,Hawaii,341778,60.5,7062.389018364914,3,0.8777627582816916,1.2257418091800247
Richmond,Virginia,229247,59.9,7027.281647575907,2,0.8724214493537539,1.2169359888641573
Las Cruces,New Mexico,114892,76.9,7962.274003365844,1,0.8703826201998399,1.213560497490466
Norfolk,Virginia,230930,53.3,6628.840255908358,2,0.8660633092279045,1.206383238163454
League City,Texas,116320,51.3,6503.282670862251,1,0.859697386519945,1.1957396688663946
Antioch,California,117096,29.2,4906.427372510812,1,0.854000136640022,1.186147049026168
Boise,Idaho,235421,84.0,8321.729443510225,2,0.8495418845387624,1.1785958259843898
Concord,California,122315,30.6,5022.6701972728715,1,0.8175612148959654,1.123237504795352
Vallejo,California,122807,30.4,5006.229334184732,1,0.8142858306122615,1.117446046555621
Allentown,Pennsylvania,124880,17.6,3809.169363874829,1,0.8007687379884689,1.0932964008080803
Portland,Oregon,630498,133.5,10490.944311692332,5,0.7930239271179289,1.0792751439298962
Chesapeake,Virginia,253886,338.5,16705.261769139008,2,0.7877551341940872,1.0696580003875626
Athens,Georgia,128628,116.3,9791.82867684019,1,0.7774357060671083,1.0506341176457688
Norman,Oklahoma,130046,178.8,12141.09077161213,1,0.7689586761607432,1.03481681818795
Round Rock,Texas,130406,37.6,5567.598014837444,1,0.7668358817845804,1.0308285935210273
Boston,Massachusetts,653833,48.3,6310.263784923445,5,0.7647212667454839,1.026844744048886
Santa Clara,California,131062,18.3,3884.181305900568,1,0.7629976652271444,1.0235893907689124
Sacramento,California,526384,98.6,9015.968928065728,4,0.7599015167634274,1.0177232057429229
Kent,Washington,133378,33.8,5278.76464113673,1,0.7497488341405629,0.9983181220541484
Fort Wayne,Indiana,269994,110.7,9553.175568427021,2,0.7407572020118965,0.9809114962064571
Cedar Rapids,Iowa,135958,72.1,7709.772821929457,1,0.7355212639197399,0.97067779874582
Tucson,Arizona,547239,241.0,14095.564400416122,4,0.7309420563958343,0.9616677930170624
Chula Vista,California,274333,49.6,6394.620669133191,2,0.7290409830388616,0.9579106662827478
Nashville,Tennessee,687788,475.8,19805.5162731193,5,0.7269681936875898,0.9538029930814081
Austin,Texas,979882,319.9,16239.814676041342,7,0.7143717304736692,0.9285857387853497
Madison,Wisconsin,280305,79.6,8100.847987730317,2,0.7135084996700023,0.926841364257256
Milwaukee,Wisconsin,561385,96.2,8905.565144469494,4,0.7125234910088442,0.9248483271501258
Minneapolis,Minnesota,425115,54.0,6672.227237795193,3,0.7056914011502771,0.910948179208267
Syracuse,New York,145560,25.1,4548.946295268257,1,0.6870019236053861,0.8722248869443225
Gainesville,Florida,145812,63.2,7218.259448257601,1,0.6858146105944641,0.8697293881252715
Jersey City,New Jersey,291657,14.7,3481.229188508331,2,0.685737012998145,0.869566142840751
Indianapolis,Indiana,879293,361.6,17265.85779888964,6,0.6823664011882273,0.8624573603739712
Olathe,Kansas,147461,61.9,7143.635278733866,1,0.6781454079383702,0.8535053975508332
Naperville,Illinois,150245,39.1,5677.5677790522495,1,0.6655795533961196,0.8265218629172612
Bellevue,Washington,151574,33.5,5255.2859570468,1,0.6597437555253539,0.8138165388567812
Saint Paul,Minnesota,303820,52.0,6547.501712222925,2,0.6582845105654663,0.8106219998906408
Sunnyvale,California,151967,22.1,4268.448891039216,1,0.6580376002684794,0.8100807702596051
Columbus,Ohio,913175,220.0,13467.447439419695,6,0.6570482109124757,0.8079099805292534
Newark,New Jersey,304960,24.1,4457.40884109006,2,0.6558237145855194,0.805218818876047
Santa Ana,California,310539,27.3,4744.115702907141,2,0.6440414891527312,0.7790643780972785
Charleston,South Carolina,155369,114.8,9728.477815448801,1,0.643629037967677,0.7781401645083148
Hayward,California,155675,45.8,6144.784942030026,1,0.6423638991488678,0.7753015640213541
Louisville,Kentucky,622981,324.9,16366.235816925118,4,0.6420741563546882,0.7746506793833674
Surprise,Arizona,158285,110.3,9535.900372431966,1,0.6317718040243864,0.7513142993910522
Denton,Texas,158349,96.4,8914.81768218012,1,0.6315164604765423,0.7507310866983261
Killeen,Texas,159643,54.8,6721.469435269465,1,0.6263976497560181,0.7389895479964921
Lexington,Kentucky,320154,283.6,15290.68924293915,2,0.6246993634313487,0.7350728081471063
Orlando,Florida,320742,110.6,9548.859699415958,2,0.6235541338521303,0.7324255614110958
Murfreesboro,Tennessee,165430,62.9,7201.107124337065,1,0.6044852807834129,0.6876179586270267
Oceanside,California,170020,41.3,5835.109021352353,1,0.5881660981061051,0.6481343780284882
Kansas City,Missouri,510704,314.7,16107.284154847817,3,0.5874244180582098,0.6463139852058508
Atlanta,Georgia,510823,135.3,10561.432972287532,3,0.5872875731907138,0.645977859561316
Fort Collins,Colorado,170376,57.2,6867.077729188621,1,0.5869371272949242,0.6451167184683761
Salem,Oregon,177432,48.8,6342.841511942407,1,0.5635961945984941,0.5865726189526964
Shreveport,Louisiana,177959,107.8,9427.213207593786,1,0.5619271854753061,0.5822939464830632
Clarksville,Tennessee,180716,99.4,9052.470975834842,1,0.5533544345824387,0.560114599907451
Cleveland,Ohio,362656,77.7,8003.5830951618855,2,0.5514868084355422,0.5552371253131813
Los Angeles,California,3820914,469.5,19673.95832757022,21,0.5496067171362663,0.5503103848195302
Fort Lauderdale,Florida,184255,34.6,5340.869891038439,1,0.5427261132669398,0.5321350739713909
Albuquerque,New Mexico,560274,187.3,12426.328705602647,3,0.5354522965549,0.5126687993485313
Akron,Ohio,188701,61.9,7143.635278733866,1,0.5299388980450553,0.49773677487572116
Providence,Rhode Island,190792,18.4,3894.779364632628,1,0.524130990817225,0.4818381635194007
Vancouver,Washington,196442,48.7,6336.339366192372,1,0.5090561081642418,0.4397354272614516
Arlington,Texas,398431,95.9,8891.668285322383,2,0.5019689732977605,0.4195089423005246
Augusta,Georgia,200884,302.3,15786.760575541939,1,0.49779972521455174,0.4074761823006834
Little Rock,Arkansas,203842,120.0,9946.369110023803,1,0.4905760343795684,0.3863875054280071
Worcester,Massachusetts,207621,37.4,5552.77083001815,1,0.48164684689891674,0.3598864695618452
Fayetteville,North Carolina,209749,148.3,11057.18368735967,1,0.47676031828518844,0.34517491075251344
Philadelphia,Pennsylvania,1550542,134.4,10526.247645271129,7,0.451455039592607,0.26649306521015964
Huntsville,Alabama,225564,218.1,13409.166445919704,1,0.44333315600007095,0.24030201116394742
Spokane,Washington,229447,68.8,7531.269139909895,1,0.4358304968031833,0.2156778994779305
Phoenix,Arizona,1650070,518.0,20665.16269169946,7,0.42422442684249756,0.17673844198978755
Omaha,Nebraska,483335,141.6,10804.522432664302,2,0.41379167658042554,0.14081537402821495
San Jose,California,969655,178.3,12124.103089062783,4,0.4125178542883809,0.1363673107036842
Winston-Salem,North Carolina,252975,132.7,10459.46353760766,1,0.3952959778634252,0.07484402415934382
Mesa,Arizona,511648,138.7,10693.31054529821,2,0.390893739445869,0.05868722695763833
Laredo,Texas,257602,106.5,9370.197671054846,1,0.3881957438218647,0.048695048779037624
St. Petersburg,Florida,263553,61.8,7137.8626432224355,1,0.3794303233125785,0.015745729008254005
Chicago,Illinois,2664452,227.7,13701.100884680973,10,0.37531169636383016,0.0
Gilbert,Arizona,275411,68.6,7520.314560817103,1,0.363093703592086,-0.04774733907049271
Plano,Texas,290190,71.7,7688.356744943572,1,0.3446018126055343,-0.12315896149208867
Lincoln,Nebraska,294757,97.7,8974.726668445139,1,0.33926251115325506,-0.14568723203930217
Durham,North Carolina,296186,112.8,9643.362637818072,1,0.33762568115981173,-0.15266460627639936
Greensboro,North Carolina,302296,129.6,10336.569989636917,1,0.33080159843332363,-0.1821230460223554
Memphis,Tennessee,618639,297.0,15647.759894638859,2,0.3232903195563164,-0.21525894287902436
Cincinnati,Ohio,311097,77.8,8008.73174998525,1,0.3214431511714996,-0.22352563936963152
Detroit,Michigan,633218,138.7,10693.31054529821,2,0.31584699108363945,-0.2488634232013453
Stockton,California,319543,62.2,7160.925264360268,1,0.312946927330594,-0.26217124040075024
Jacksonville,Florida,985843,747.3,24821.123758596914,3,0.30430808962481853,-0.3025565651644664
Las Vegas,Nevada,660929,141.8,10812.15005269847,2,0.30260436446274863,-0.3106564559555397
Henderson,Nevada,337305,106.2,9356.990902446127,1,0.2964675886808675,-0.3402148608940037
Oklahoma City,Oklahoma,702767,606.2,22355.372711094344,2,0.28458934469034547,-0.39920760472027295
New Orleans,Louisiana,364136,169.5,11821.12473891044,1,0.2746226684535448,-0.45063853543117355
Tampa,Florida,403364,114.0,9694.521419296256,1,0.2479150345593558,-0.5982434867751248
Bakersfield,California,413381,149.8,11112.962670994772,1,0.2419075864638191,-0.6336332372643384
Dallas,Texas,1302868,339.6,16732.38271968834,3,0.2302612390510781,-0.7048176756706601
Oakland,California,436504,55.9,6788.594263316176,1,0.22909297509301177,-0.712156031130713
Virginia Beach,Virginia,453649,244.7,14203.354723533595,1,0.22043474139698313,-0.7677376353130791
Houston,Texas,2314157,640.4,22977.33258489113,5,0.21606139946425418,-0.7966479016919611
Raleigh,North Carolina,482295,147.1,11012.357082445356,1,0.20734197949387823,-0.8560770103785171
Fort Worth,Texas,978468,347.3,16921.012274589208,2,0.2044011659042503,-0.8766858262193058
Fresno,California,545716,115.2,9745.411645175502,1,0.18324549765812254,-1.0343114998734309
New York,New York,8258035,300.5,15739.690454147842,15,0.1816412742256481,-1.0469971891385483
Baltimore,Maryland,565239,80.9,8166.7302261739615,1,0.1769163132763309,-1.085022168021792
El Paso,Texas,678958,258.4,14595.541211097296,1,0.147284515389759,-1.3494834896048802
Washington,District of Columbia,678972,61.1,7097.322730374145,1,0.14728147847039347,-1.349513237427777
San Antonio,Texas,1495295,498.8,20278.562762650457,2,0.13375287150696016,-1.4885193869454
Broken Arrow,Oklahoma,119194,63.0,7206.8291015007935,0,0.0,-inf
Miami Gardens,Florida,110717,18.2,3873.5542509492166,0,0.0,-inf
Odessa,Texas,115743,51.1,6490.593326731838,0,0.0,-inf
Ann Arbor,Michigan,119381,28.2,4821.681318909036,0,0.0,-inf
Amarillo,Texas,202408,102.3,9183.574758670635,0,0.0,-inf
Sioux Falls,South Dakota,206410,79.1,8075.365546525485,0,0.0,-inf
Tacoma,Washington,222906,49.7,6401.06361350722,0,0.0,-inf
Yonkers,New York,207657,18.0,3852.2121918354073,0,0.0,-inf
Carrollton,Texas,132918,36.7,5500.56094560142,0,0.0,-inf
Suffolk,Virginia,100659,399.2,18141.333831510296,0,0.0,-inf
Buffalo,New York,274678,40.4,5771.180152492326,0,0.0,-inf
Tulsa,Oklahoma,411894,197.5,12760.200510567041,0,0.0,-inf
Waterbury,Connecticut,114990,28.5,4847.260709648128,0,0.0,-inf
Clearwater,Florida,116850,26.1,4638.677744556283,0,0.0,-inf
Richardson,Texas,117435,28.6,4855.757229244392,0,0.0,-inf
Paterson,New Jersey,156452,8.4,2631.5619113177822,0,0.0,-inf
Wichita,Kansas,396119,162.0,11556.636575506222,0,0.0,-inf
