RegionID,size,city,state,zhvi,score
44734,223,Conroe,TX,242203.0,0.29749224869837076
18203,33,Fresno,CA,244153.0,0.28592347847830607
7481,17,Tucson,AZ,246440.0,0.27247254273548016
13271,5,Philadelphia,PA,246927.0,0.26962438826586693
12562,66,Marietta,GA,247196.0,0.2680535850272479
54121,357,Richardson,TX,247677.0,0.26524908151546756
20313,76,Saint Paul,MN,250353.0,0.24974524004552806
39386,408,League City,TX,251867.0,0.2410468731598439
5573,98,Lawrenceville,GA,254213.0,0.22767117441679421
31614,110,Fort Myers,FL,254513.0,0.2259696354255207
397329,468,Holland,MI,254575.0,0.22561823412367368
39097,428,Idaho Falls,ID,255313.0,0.22144198489379205
18298,102,Glendale,AZ,256101.0,0.21699609724934346
32629,378,Madera,CA,257258.0,0.2104930419271619
7858,344,West Palm Beach,FL,258124.0,0.20564469611278555
44571,456,Cheyenne,WY,258338.0,0.20444911248254954
32287,394,Kennesaw,GA,260112.0,0.19457602543033817
16425,476,Acworth,GA,261828.0,0.18508959553339535
38119,214,Cypress,TX,262591.0,0.18089151311102225
44282,133,Bradenton,FL,263593.0,0.17539692498850362
24043,15,Charlotte,NC,264460.0,0.17065945460418736
51447,245,Clearwater,FL,265104.0,0.16715054514530472
7081,73,Silver Spring,MD,265904.0,0.1628035036471456
13234,279,Pearland,TX,266532.0,0.15940022924112543
31819,380,Grand Junction,CO,266854.0,0.15765834677851928
398849,99,Madison,WI,268071.0,0.15109382691480014
51757,498,Duluth,GA,268822.0,0.14705777249670407
30559,194,Boynton Beach,FL,269173.0,0.14517527904899313
33501,151,Port Saint Lucie,FL,269458.0,0.1436485636351958
10917,401,Columbia,MD,269662.0,0.14255674807506805
30742,178,Cape Coral,FL,271075.0,0.13501691731562632
19523,176,Murfreesboro,TN,271288.0,0.13388374982629633
52387,483,Hamilton Township,NJ,271357.0,0.13351685818126938
47322,338,Redding,CA,271613.0,0.13215645168428342
39767,327,Miami Gardens,FL,272078.0,0.12968867731397002
17321,268,Carrollton,TX,272756.0,0.1260980506547191
47977,383,The Woodlands,TX,273032.0,0.12463893515482913
19172,353,Manassas,VA,277551.0,0.10095609244610226
25855,389,Merced,CA,279084.0,0.09300956702336691
18959,7,Las Vegas,NV,279084.0,0.09300956702336691
35593,348,Laurel,MD,280284.0,0.08681959296366619
53311,433,Midlothian,VA,283685.0,0.06941911416347675
24457,78,Durham,NC,284195.0,0.06682781082944637
4810,288,Frederick,MD,284221.0,0.06669582977652291
52747,445,Kennewick,WA,284931.0,0.06309639057444409
5772,339,Manchester,NH,285659.0,0.05941499917372442
30840,314,Charlottesville,VA,286623.0,0.054554600507198105
19594,50,New Orleans,LA,286811.0,0.053608627030199044
41176,56,Tampa,FL,287284.0,0.05123133787509975
26575,373,Pompano Beach,FL,287661.0,0.049339344350965424
8097,216,Ann Arbor,MI,289037.0,0.04245479769599
5983,47,Minneapolis,MN,292506.0,0.025242765363762458
10477,128,Boca Raton,FL,292527.0,0.0251391931007562
54047,37,Raleigh,NC,294213.0,0.016847989045380363
27683,271,Victorville,CA,295081.0,0.012597953575418559
14724,159,Worcester,MA,295504.0,0.010531324363196112
17309,481,Carmel,IN,295716.0,0.009496679521082444
19873,227,Paterson,NJ,296939.0,0.0035423940107667177
26922,96,Saint Petersburg,FL,297196.0,0.0022942849155828636
17426,3,Chicago,IL,297669.0,-0.0
4351,281,Denton,TX,298242.0,-0.0027744562970076292
25659,342,Lowell,MA,298441.0,-0.00373676400070095
48573,429,Woodstock,GA,299794.0,-0.010262526346548595
26187,114,North Las Vegas,NV,300828.0,-0.01522987068622697
12970,82,Newark,NJ,302236.0,-0.02196652984181298
26637,167,Providence,RI,304449.0,-0.0324915907411372
31525,497,Fall River,MA,304970.0,-0.03495834776519675
26900,340,Saint Augustine,FL,305060.0,-0.035384040123349926
11529,181,Fredericksburg,VA,305429.0,-0.037128066747639965
5534,161,Lancaster,CA,306759.0,-0.043396688227382525
31388,280,Elizabeth,NJ,306827.0,-0.04371645844111672
39420,333,Lewisville,TX,306861.0,-0.04387631697327117
39815,257,Miramar,FL,307193.0,-0.04543635827337479
13709,388,Sandy Springs,GA,308749.0,-0.05272548049254755
5891,446,Medford,OR,308767.0,-0.05280958685009411
16780,364,Antioch,CA,309940.0,-0.058279973674693515
45732,381,Hesperia,CA,312173.0,-0.06863677979019774
20604,87,Spokane,WA,312847.0,-0.07174828609231897
45255,417,Federal Way,WA,314215.0,-0.07804307017108444
33058,452,New Bedford,MA,316143.0,-0.08686829238605272
19331,38,Mesa,AZ,316255.0,-0.08737930553368733
33024,303,Nampa,ID,318181.0,-0.09613870501493973
7266,80,Stockton,CA,319200.0,-0.10075166805954693
40326,6,Phoenix,AZ,321587.0,-0.11150010394085573
50779,432,Asheville,NC,322112.0,-0.11385342455937839
26319,462,Orem,UT,323124.0,-0.1183789270997092
44821,209,Cumming,GA,323636.0,-0.1206631129344517
54219,460,Roswell,GA,324876.0,-0.1261801859595822
11865,292,Hemet,CA,325077.0,-0.12707250190385203
51297,226,Cary,NC,326321.0,-0.13258284984076343
14701,130,Woodbridge,VA,326719.0,-0.13434137212842157
25934,85,Modesto,CA,327487.0,-0.1377286547286778
20362,108,Sarasota,FL,328669.0,-0.1429264046018448
17386,393,Chapel Hill,NC,329906.0,-0.14834603293359588
39966,436,New Braunfels,TX,331330.0,-0.15455985345806825
41629,358,West Chester,PA,333584.0,-0.16434110961572582
20317,162,Salem,OR,333702.0,-0.16485134965252968
6118,29,Nashville,TN,334522.0,-0.16839211001834684
47958,175,Tempe,AZ,338319.0,-0.1846752176810138
37863,328,Chico,CA,339900.0,-0.19140137837887314
53915,81,Plano,TX,341553.0,-0.1984004805325292
4054,172,Charleston,SC,342553.0,-0.20261823646055385
44328,431,Brockton,MA,343176.0,-0.20523967804394097
11695,407,Greeley,CO,345545.0,-0.21516462016445181
32060,220,Hollywood,FL,347210.0,-0.22209951595982422
11267,386,Edison,NJ,347605.0,-0.2237398507325114
44655,306,Clovis,CA,349024.0,-0.22961726064339189
4172,42,Colorado Springs,CO,351124.0,-0.23827162706606977
32783,196,McKinney,TX,351641.0,-0.240394309529471
41059,440,Sterling,VA,357361.0,-0.2636732133390093
32471,493,Leesburg,VA,358304.0,-0.26747516595905046
20071,317,Provo,UT,358859.0,-0.2697081197158323
40227,183,Palmdale,CA,359114.0,-0.2707329138261832
38968,478,Herndon,VA,361617.0,-0.280753518475823
23444,447,Allen,TX,363393.0,-0.28782164586066133
13943,323,Sparks,NV,364698.0,-0.29299330447056204
16773,435,Annapolis,MD,365924.0,-0.2978350578813589
19533,77,Naples,FL,368256.0,-0.30700004780176354
20328,94,San Bernardino,CA,369695.0,-0.3126265481932727
46500,474,Menifee,CA,370236.0,-0.3147361993802086
27228,366,Springfield,VA,371097.0,-0.31808735463357624
4679,300,Falls Church,VA,372045.0,-0.3217681468392253
38438,149,Eugene,OR,372977.0,-0.3253776844891321
16846,57,Aurora,CO,375401.0,-0.3347235097504393
